Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP2-5_Full64; Runtime version W-2024.09-SP2-5_Full64;  May  4 12:16 2026
t=0 pxl_in=0 | pxl_out=x valid=0
t=2810000 pxl_in=135 | pxl_out=1049 valid=1
t=2811000 pxl_in=133 | pxl_out=1049 valid=1
t=2830000 pxl_in=133 | pxl_out=1076 valid=1
t=2831000 pxl_in=131 | pxl_out=1076 valid=1
t=2850000 pxl_in=131 | pxl_out=1088 valid=1
t=2851000 pxl_in=129 | pxl_out=1088 valid=1
t=2870000 pxl_in=129 | pxl_out=1083 valid=1
t=2871000 pxl_in=127 | pxl_out=1083 valid=1
t=2890000 pxl_in=127 | pxl_out=1076 valid=1
t=2891000 pxl_in=125 | pxl_out=1076 valid=1
t=2910000 pxl_in=125 | pxl_out=1068 valid=1
t=2930000 pxl_in=125 | pxl_out=1062 valid=1
t=2931000 pxl_in=126 | pxl_out=1062 valid=1
t=2950000 pxl_in=126 | pxl_out=1060 valid=1
t=2951000 pxl_in=127 | pxl_out=1060 valid=1
t=2970000 pxl_in=127 | pxl_out=1061 valid=1
t=2971000 pxl_in=128 | pxl_out=1061 valid=1
t=2990000 pxl_in=128 | pxl_out=1062 valid=1
t=3010000 pxl_in=128 | pxl_out=1059 valid=1
t=3011000 pxl_in=127 | pxl_out=1059 valid=1
t=3030000 pxl_in=127 | pxl_out=1051 valid=1
t=3031000 pxl_in=125 | pxl_out=1051 valid=1
t=3050000 pxl_in=125 | pxl_out=1039 valid=1
t=3070000 pxl_in=125 | pxl_out=1026 valid=1
t=3071000 pxl_in=127 | pxl_out=1026 valid=1
t=3090000 pxl_in=127 | pxl_out=1018 valid=1
t=3091000 pxl_in=128 | pxl_out=1018 valid=1
t=3110000 pxl_in=128 | pxl_out=1015 valid=1
t=3130000 pxl_in=128 | pxl_out=1013 valid=1
t=3131000 pxl_in=126 | pxl_out=1013 valid=1
t=3150000 pxl_in=126 | pxl_out=1011 valid=1
t=3151000 pxl_in=124 | pxl_out=1011 valid=1
t=3170000 pxl_in=124 | pxl_out=1008 valid=1
t=3171000 pxl_in=123 | pxl_out=1008 valid=1
t=3190000 pxl_in=123 | pxl_out=1005 valid=1
t=3191000 pxl_in=125 | pxl_out=1005 valid=1
t=3210000 pxl_in=125 | pxl_out=1006 valid=1
t=3211000 pxl_in=126 | pxl_out=1006 valid=1
t=3230000 pxl_in=126 | pxl_out=1010 valid=0
t=3231000 pxl_in=142 | pxl_out=1010 valid=0
t=3250000 pxl_in=142 | pxl_out=1026 valid=0
t=3270000 pxl_in=142 | pxl_out=1054 valid=1
t=3271000 pxl_in=143 | pxl_out=1054 valid=1
t=3290000 pxl_in=143 | pxl_out=1071 valid=1
t=3291000 pxl_in=144 | pxl_out=1071 valid=1
t=3310000 pxl_in=144 | pxl_out=1079 valid=1
t=3330000 pxl_in=144 | pxl_out=1086 valid=1
t=3370000 pxl_in=144 | pxl_out=1080 valid=1
t=3371000 pxl_in=142 | pxl_out=1080 valid=1
t=3390000 pxl_in=142 | pxl_out=1071 valid=1
t=3391000 pxl_in=140 | pxl_out=1071 valid=1
